w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,coords,town_ID,CCAA_ID
7.8,7.399999999999999,7.8,7.8,7.8,7.8,7.8,7.8,7.8,8.200000000000001,8.200000000000001,7.8,8.200000000000001,8.200000000000001,8.600000000000001,8.600000000000001,8.600000000000001,9.0,9.0,9.0,9.0,9.4,9.4,9.4,9.4,9.4,9.0,9.0,8.600000000000001,8.600000000000001,9.0,9.0,9.4,9.4,9.4,9.0,9.4,9.4,9.4,9.4,8.200000000000001,9.0,9.0,9.0,8.600000000000001,8.600000000000001,8.200000000000001,7.8,7.8,7.8,7.8,7.8,7.8,"(41.38424664,2.17634927)",884,9
8.200000000000001,7.8,7.8,8.200000000000001,8.200000000000001,7.8,7.8,7.8,8.600000000000001,9.0,8.200000000000001,8.200000000000001,9.0,9.0,9.0,9.0,9.0,9.4,9.4,9.4,9.4,9.4,9.0,8.600000000000001,8.600000000000001,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.200000000000001,8.600000000000001,8.600000000000001,9.0,9.4,9.0,9.4,9.4,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,7.8,8.200000000000001,8.200000000000001,8.200000000000001,7.8,"(39.47534441,-0.37565717)",7257,10
8.600000000000001,8.600000000000001,8.600000000000001,9.0,8.4,8.600000000000001,8.200000000000001,8.600000000000001,8.8,9.0,9.0,8.8,9.0,9.0,9.0,9.0,9.0,9.4,9.4,9.4,9.4,9.4,9.4,9.0,9.0,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.600000000000001,8.600000000000001,8.600000000000001,9.0,9.0,9.0,9.4,9.4,9.4,9.0,9.0,7.8,8.200000000000001,9.0,9.0,9.0,9.0,8.200000000000001,"(36.72034267,-4.41997511)",4547,1
8.200000000000001,7.8,7.8,8.0,8.4,8.4,8.600000000000001,8.600000000000001,8.8,8.8,9.0,8.8,8.8,9.0,9.2,9.2,9.2,9.0,8.4,8.4,8.4,8.4,7.6,7.6,7.6,7.199999999999999,7.199999999999999,6.800000000000001,7.199999999999999,6.4,6.800000000000001,6.800000000000001,7.199999999999999,7.399999999999999,7.399999999999999,7.8,7.000000000000001,7.8,8.200000000000001,8.200000000000001,8.600000000000001,9.0,9.0,9.4,9.0,9.0,9.0,8.200000000000001,8.200000000000001,7.8,8.200000000000001,8.200000000000001,7.6,"(37.98436361,-1.1285408)",4613,14
7.8,7.8,7.8,8.200000000000001,8.200000000000001,8.200000000000001,7.8,7.8,8.600000000000001,9.0,8.600000000000001,8.600000000000001,9.0,9.0,9.0,9.0,9.0,9.4,9.4,9.4,9.4,9.4,8.600000000000001,8.600000000000001,8.600000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.200000000000001,7.8,7.8,7.8,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.600000000000001,8.600000000000001,8.600000000000001,9.0,9.4,9.4,9.4,9.0,9.0,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,7.8,"(38.34548705,-0.4831832)",151,10
7.6,7.8,7.8,7.8,7.6,7.6,8.0,8.600000000000001,8.4,8.8,8.8,8.8,9.2,9.2,9.2,9.2,9.2,8.600000000000001,8.4,8.0,8.0,7.6,7.6,7.6,7.199999999999999,6.800000000000001,6.800000000000001,6.0,6.800000000000001,6.4,6.0,6.4,6.800000000000001,6.0,7.0,7.199999999999999,7.6,7.6,7.8,7.8,8.200000000000001,9.4,9.4,9.4,8.8,9.0,7.8,8.200000000000001,8.200000000000001,7.6,7.8,7.8,7.399999999999999,"(37.87954225,-4.78032455)",2076,1
7.0,7.399999999999999,6.6000000000000005,6.6000000000000005,5.6,6.4,7.8,7.399999999999999,7.000000000000001,7.200000000000001,7.399999999999999,7.0,7.4,7.8,7.8,8.600000000000001,7.8,8.200000000000001,8.600000000000001,8.200000000000001,8.200000000000001,9.0,9.0,7.8,9.0,9.0,8.600000000000001,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.0,9.0,9.4,9.0,9.0,9.0,8.200000000000001,7.4,7.8,6.6000000000000005,7.8,7.000000000000001,7.4,6.6000000000000005,6.2,7.4,7.8,3.6,"(43.53920222,-5.65949323)",5018,3
6.6000000000000005,6.800000000000001,6.6000000000000005,5.800000000000001,5.6000000000000005,6.4,7.0,6.800000000000001,6.8,7.2,7.4,7.0,7.4,7.4,7.4,8.200000000000001,7.4,7.800000000000001,8.200000000000001,7.800000000000001,8.6,8.8,9.0,8.6,9.0,8.6,8.6,9.0,8.6,8.200000000000001,8.6,8.200000000000001,9.0,8.6,8.200000000000001,9.0,9.0,9.0,8.8,8.8,8.8,8.4,8.4,7.800000000000001,6.600000000000001,7.199999999999999,6.800000000000001,7.199999999999999,7.199999999999999,6.200000000000001,7.0,6.6000000000000005,5.6000000000000005,"(42.85058789,-2.67275685)",44,16
7.399999999999999,7.399999999999999,6.4,5.8,5.2,6.0,7.199999999999999,7.0,6.800000000000001,7.200000000000001,7.399999999999999,7.0,7.200000000000001,7.8,7.4,8.600000000000001,7.8,8.200000000000001,8.200000000000001,7.4,8.200000000000001,8.600000000000001,8.600000000000001,8.600000000000001,9.0,9.0,9.0,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.0,9.0,9.4,9.0,9.0,9.0,7.000000000000001,7.8,7.4,6.4,7.000000000000001,6.6000000000000005,7.0,6.6000000000000005,6.2,7.399999999999999,7.399999999999999,4.800000000000001,"(43.36232165,-5.84372206)",5039,3
7.8,7.8,7.8,7.8,8.200000000000001,7.8,7.8,7.8,8.0,8.4,8.200000000000001,7.8,8.200000000000001,8.600000000000001,9.0,8.600000000000001,8.8,9.0,9.4,9.4,9.4,9.4,9.0,8.4,8.600000000000001,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,7.8,8.600000000000001,8.200000000000001,8.200000000000001,8.200000000000001,8.200000000000001,7.8,8.600000000000001,9.0,9.0,9.4,9.4,9.4,9.0,9.0,8.600000000000001,8.600000000000001,8.200000000000001,7.8,8.200000000000001,8.200000000000001,8.200000000000001,7.8,"(37.60017342,-0.98210494)",4599,14
