ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo,peak_coords_MDB
578,Monte Do Seixo,Pontevedra,Cerdedo,967,627,10.0,6.1,127,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0319,"(42.6915271,-8.7095301)",,"[-8.7095301,42.6915271]"
579,Iznatoraf,Jaén,A6204,1036,593,14.0,3.9,126,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1306,"(38.1570315,-3.0327382)",,"[-3.0327382,38.1570315]"
580,Valdorria,León,Nocedo de Curueño,1365,302,2.4,12.0,126,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0775,"(42.8898475,-5.4190164)",,"[-5.4190164,42.8898475]"
583,A Muria,Lugo,Muiñovedro - Lamas,651,462,5.8,7.8,126,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=2029,"(43.2941399,-7.313366)",,"[-7.313366,43.2941399]"
584,Piocorto,Lugo,Bravos-O Sisto,707,627,15.0,4.0,126,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1470,"(43.5117457,-7.6901707)",,"[-7.6901707,43.5117457]"
587,Costiña De Canedo,Ourense,Cachaxúas,395,272,2.0,13.0,125,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1757,"(42.3704185,-7.912304)",,"[-7.912304,42.3704185]"
588,Xodos,Castellón,Atzeneta,1104,709,16.0,4.2,124,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1953,"(40.2454715,-0.2873322)",,"[-0.2873322,40.2454715]"
589,Sollube,Bizkaia,Almike/Albóniga,384,376,3.0,9.0,124,https://www.altimetrias.net/aspbk/verPuerto.asp?id=067,"(43.3709754,-2.7638012)",,"[-2.7638012,43.3709754]"
593,Chao Da Serra,Lugo,Campo de Tiro,563,383,5.2,7.2,122,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1484,"(43.2053023,-7.182858)",,"[-7.182858,43.2053023]"
596,Eulate,Navarra,Eulate,985,257,2.5,10.0,121,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0239,"(42.7764335,-2.2061503)",,"[-2.2061503,42.7764335]"
599,Coll De La Safor,Valencia,Villalonga,556,459,7.1,6.4,120,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0528,"(38.9142519,-0.1282572)",,"[-0.1282572,38.9142519]"
601,Tibi,Alicante,Monnegre,723,665,22.0,2.9,119,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1053,"(38.5308973,-0.5775432)",,"[-0.5775432,38.5308973]"
605,Peña De Francia,Salamanca,Monsagro,1723,769,16.0,4.7,118,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0599,"(40.5123487,-6.1683775)",,"[-6.1683775,40.5123487]"
606,El Vivero,Bizkaia,Zamudio-San Antolín,415,385,6.5,5.9,118,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0857,"(43.2576316,-2.8512466306211253)",,"[-2.8512466306211253,43.2576316]"
615,San Salvador,Gipuzkoa,Eibar,444,336,3.5,9.6,116,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1281,"(42.8934914,-2.1737465)",,"[-2.1737465,42.8934914]"
616,Igeldo,Gipuzkoa,Igara (Donostia),253,224,1.7,12.0,116,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1543,"(43.3089759,-2.036057)",,"[-2.036057,43.3089759]"
617,Urkiaga,Navarra,Aldude,911,528,12.0,4.4,115,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=0340,"(43.0359653,-1.4702825)",,"[-1.4702825,43.0359653]"
625,Puerto De Albánchez,Jaén,Bedmar-Jimena,1160,686,15.0,4.3,114,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1313,"(37.7863206,-3.4831316)",,"[-3.4831316,37.7863206]"
626,Confrides,Alicante,Callosa d'Ensarriá,966,735,20.0,3.6,114,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1963,"(38.6833155,-0.2684296)",,"[-0.2684296,38.6833155]"
630,O Porto,Lugo,Ponte do Porto,404,294,2.6,11.0,113,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1224,"(43.6000199,-7.2974968)",,"[-7.2974968,43.6000199]"
631,Coll Del Vidre,Castellón,Benafigos,1065,665,15.0,4.2,113,https://www.altimetrias.net/aspbk/verPerfilusu.asp?id=1983,"(40.2744665,-0.239471)",,"[-0.239471,40.2744665]"
