ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords,coords_MDB
3193,Irun,País Vasco,Gipuzkoa,62910,42.397687,3.6736319038397953,6,"[2477, 3637, 3763, 3766, 3784, 4058]","[732, 842, 1000, 257, 303, 616, 812, 1048, 125, 235, 516]","(43.34003194,-1.78736072)","[-1.78736072,43.34003194]"
146,Alcoy,Comunitat Valenciana,Alicante,59354,129.860503,6.429291194887109,5,"[526, 678, 1449, 1974, 9587]","[1053, 534, 918, 626, 643, 802, 788]","(38.69836894,-0.47318376)","[-0.47318376,38.69836894]"
2800,Motril,Andalucía,Granada,58460,103.3109,5.734527349448133,4,"[101, 2041, 3518, 6535]","[13, 239, 440, 5, 124]","(36.74574584,-3.52123441)","[-3.52123441,36.74574584]"
2295,Cuenca,Castilla-La Mancha,Cuenca,54621,910.5992,17.025041847551314,4,"[2570, 7668, 9416, 9515]","[993, 860, 345, 831]","(40.07653762,-2.13152306)","[-2.13152306,40.07653762]"
5061,Siero,Asturias,Asturias,51509,211.232775,8.19983678730414,6,"[3294, 3387, 5316, 5593, 7079, 9780]","[1023, 986, 1056, 145, 1071, 726, 542, 954]","(43.39474647,-5.66321486)","[-5.66321486,43.39474647]"
4561,Rincón de la Victoria,Andalucía,Málaga,48768,27.9992,2.985364521154164,5,"[285, 2209, 5026, 9081, 9217]","[86, 109, 649, 185, 222, 1104]","(36.71634307,-4.29230385)","[-4.29230385,36.71634307]"
1161,Vic,Cataluña,Barcelona,47630,30.794448000000003,3.130839235136797,3,"[7277, 7365, 7855]","[101, 715, 1122, 49]","(41.92838354,2.25573569)","[2.25573569,41.92838354]"
7024,Alzira,Comunitat Valenciana,Valencia,44938,110.49,5.930428069013382,3,"[856, 3543, 9627]","[1066, 599, 460]","(39.14944832,-0.43554456)","[-0.43554456,39.14944832]"
200,Dénia,Comunitat Valenciana,Alicante,42827,66.17916,4.589709318376964,4,"[2664, 2762, 6460, 8919]","[818, 973, 1092, 307, 664]","(38.84122705,0.10661934)","[0.10661934,38.84122705]"
4495,Antequera,Andalucía,Málaga,41318,748.0345,15.430690838735364,4,"[1425, 4057, 9107, 9620]","[63, 455, 826, 703]","(37.0142215,-4.55804451)","[-4.55804451,37.0142215]"
4563,Ronda,Andalucía,Málaga,33730,397.2364,11.24473110354518,3,"[4867, 6202, 9014]","[426, 974, 688]","(36.73725905,-5.1654186)","[-5.1654186,36.73725905]"
5797,Castro-Urdiales,Cantabria,Cantabria,32270,96.0552,5.529488971065105,5,"[2095, 4830, 5516, 7524, 9361]","[227, 360, 377, 329, 381, 342, 1027, 272]","(43.38375,-3.217666667)","[-3.217666667,43.38375]"
5793,Camargo,Cantabria,Cantabria,30320,36.9837,3.431071233450934,5,"[4437, 5480, 10374, 10423, 10496]","[841, 82, 522, 863, 792]","(43.42352778,-3.855083333)","[-3.855083333,43.42352778]"
7525,Durango,País Vasco,Bizkaia,30118,10.7255,1.847707958739532,7,"[1071, 4307, 4965, 5414, 7483, 7598, 9680]","[12, 379, 382, 712, 992, 1039, 353, 414, 804, 328, 290, 638, 686, 121, 1096]","(43.16798721,-2.63090395)","[-2.63090395,43.16798721]"
1893,Onda,Comunitat Valenciana,Castellón,24980,108.2012,5.86868223010087,3,"[5227, 7916, 10019]","[523, 945, 773, 97, 950]","(39.96420713,-0.26316353)","[-0.26316353,39.96420713]"
3227,Zarautz,País Vasco,Gipuzkoa,23360,14.352811,2.1374356019260445,7,"[3609, 3763, 4133, 4304, 9715, 9717, 9721]","[1003, 1059, 257, 303, 616, 812, 197, 573, 367, 211, 911]","(43.2863354,-2.17760995)","[-2.17760995,43.2863354]"
4591,Alhama de Murcia,Región de Murcia,Murcia,22160,313.0252,9.98192280003415,4,"[600, 691, 6089, 8083]","[33, 11, 1055, 1103]","(37.85237594,-1.42462332)","[-1.42462332,37.85237594]"
3203,Arrasate,País Vasco,Gipuzkoa,22073,33.0287,3.242427663502,8,"[753, 1071, 1072, 1530, 4112, 7598, 9297, 10294]","[373, 615, 731, 12, 379, 382, 712, 992, 1039, 273, 290, 328, 883, 686, 961, 638]","(43.0652967,-2.49099614)","[-2.49099614,43.0652967]"
2787,Loja,Andalucía,Granada,20419,447.4949,11.934894955387303,3,"[4397, 4478, 9107]","[1049, 198, 826]","(37.16628219,-4.15218743)","[-4.15218743,37.16628219]"
3219,Tolosa,País Vasco,Gipuzkoa,19816,37.3936,3.4500325688686098,11,"[470, 1220, 2254, 2725, 4297, 5251, 7341, 7610, 7655, 9854, 10088]","[242, 378, 394, 856, 656, 1090, 1065, 1044, 343, 347, 253, 386, 442, 917, 341, 1043]","(43.13829669,-2.07170336)","[-2.07170336,43.13829669]"
2689,Albolote,Andalucía,Granada,18962,78.584091,5.001403259923439,9,"[3449, 4478, 4735, 5884, 6678, 6869, 8898, 9491, 9632]","[230, 198, 1030, 714, 833, 912, 308, 19, 354, 140]","(37.23090185,-3.65748033)","[-3.65748033,37.23090185]"
1065,Sant Celoni,Cataluña,Barcelona,18136,65.417,4.5632038231545895,3,"[4820, 7364, 9037]","[450, 130, 18]","(41.6897174,2.4898404)","[2.4898404,41.6897174]"
7245,Tavernes de la Valldigna,Comunitat Valenciana,Valencia,17254,49.23342400000001,3.958718093425402,3,"[856, 3543, 9607]","[1066, 599, 52]","(39.07256604,-0.26721943)","[-0.26721943,39.07256604]"
7544,Gernika-Lumo,País Vasco,Bizkaia,17105,8.531799999999999,1.6479532567212491,7,"[1522, 3338, 8724, 9025, 9764, 10215, 10216]","[782, 722, 385, 526, 357, 382, 311, 313, 214]","(43.31451965,-2.68146436)","[-2.68146436,43.31451965]"
887,Berga,Cataluña,Barcelona,16760,22.539283,2.678518215242581,4,"[1791, 2999, 6461, 8404]","[16, 260, 27, 1116, 808]","(42.10328874,1.8440247)","[1.8440247,42.10328874]"
4298,Viveiro,,Lugo,15391,109.337724,5.899423454628479,3,"[9479, 10338, 10367]","[584, 539, 742]","(43.66074911,-7.597307264)","[-7.597307264,43.66074911]"
2189,Noia,Galicia,A Coruña,14274,37.208406,3.441478720410819,5,"[1302, 1536, 1537, 1538, 9723]","[740, 96, 890, 1013, 511, 764]","(42.78519846,-8.887824814)","[-8.887824814,42.78519846]"
4389,Moralzarzal,Comunidad de Madrid,Madrid,13334,42.556143,3.6804903692699376,3,"[4928, 5955, 7125]","[116, 157, 148, 229]","(40.68131412,-3.97279774)","[-3.97279774,40.68131412]"
3421,Jaca,Aragón,Huesca,13129,406.339712,11.372846830132069,7,"[1125, 3198, 6348, 6447, 6450, 7771, 9706]","[232, 129, 195, 535, 634, 398, 876, 692]","(42.57073634,-0.54955746)","[-0.54955746,42.57073634]"
3165,Azkoitia,País Vasco,Gipuzkoa,11627,54.712548,4.173188733053021,8,"[1217, 1220, 1222, 2930, 8290, 9394, 10356, 10445]","[397, 724, 856, 1065, 75, 707, 46, 197, 992, 1059, 917, 178, 273, 281, 290, 449]","(43.17827102,-2.31225807)","[-2.31225807,43.17827102]"
3573,Mancha Real,Andalucía,Jaén,11328,97.702457,5.576700210983928,3,"[3854, 9610, 9697]","[406, 625, 729, 999]","(37.78628089,-3.61182745)","[-3.61182745,37.78628089]"
5812,Laredo,Cantabria,Cantabria,11023,15.298169,2.206705020180804,5,"[4169, 4830, 5121, 9311, 9361]","[821, 859, 1034, 329, 360, 381, 267, 377]","(43.40966667,-3.414166667)","[-3.414166667,43.40966667]"
5027,Lena,Asturias,Asturias,10701,315.86560000000003,10.027108659644606,14,"[794, 801, 3054, 4135, 4272, 4716, 4932, 5304, 5317, 5332, 6754, 7536, 8985, 9320]","[51, 131, 69, 438, 884, 4, 719, 1, 84, 416, 463, 545, 1056, 1071, 411, 0]","(43.15927913,-5.82960591)","[-5.82960591,43.15927913]"
3606,Villacarrillo,Andalucía,Jaén,10673,239.5538,8.732248536440343,3,"[5787, 7569, 7959]","[551, 752, 579]","(38.10893521,-3.08623926)","[-3.08623926,38.10893521]"
190,Castalla,Comunitat Valenciana,Alicante,10461,114.599725,6.039713579275447,3,"[678, 2034, 9628]","[534, 918, 99, 837]","(38.59657643,-0.67026538)","[-0.67026538,38.59657643]"
4996,Aller,Asturias,Asturias,10413,376.3217,10.94470819082106,7,"[3042, 4135, 4272, 4932, 5316, 6754, 9320]","[1118, 4, 69, 438, 719, 416, 463, 545, 145, 1071, 131]","(43.16103558,-5.63476777)","[-5.63476777,43.16103558]"
1,Amurrio,País Vasco,Álava,10264,96.4953,5.542141836371005,9,"[4489, 4694, 4982, 5692, 6244, 6797, 9685, 9744, 9960]","[461, 717, 517, 556, 781, 264, 143, 376, 306, 326, 325, 365, 791]","(43.05427776,-3.00007326)","[-3.00007326,43.05427776]"
238,Pego,Comunitat Valenciana,Alicante,10133,52.846658,4.101411264066984,5,"[2134, 2762, 5449, 6460, 8919]","[664, 1053, 973, 228, 307, 1092]","(38.84201714,-0.11803172)","[-0.11803172,38.84201714]"
2771,Íllora,Andalucía,Granada,10065,197.4424,7.927655448273748,7,"[1354, 4478, 5481, 6678, 6869, 8898, 9491]","[296, 198, 354, 912, 833, 308, 19]","(37.28611488,-3.88172313)","[-3.88172313,37.28611488]"
5020,Grado,Asturias,Asturias,9703,216.71127,8.305490857284902,7,"[3054, 3423, 4575, 5317, 6528, 7536, 9445]","[884, 28, 60, 476, 84, 131, 90, 430, 411, 78]","(43.38929203,-6.06990452)","[-6.06990452,43.38929203]"
2208,Santa Comba,Galicia,A Coruña,9362,203.702339,8.05234852186591,4,"[812, 1537, 1538, 9454]","[1016, 1013, 511, 149]","(43.03653809,-8.820120408)","[-8.820120408,43.03653809]"
3465,Sabiñánigo,Aragón,Huesca,9185,586.817701,13.667093283539955,8,"[3198, 4110, 4111, 6447, 6450, 7771, 8163, 9706]","[129, 195, 535, 193, 221, 283, 398, 876, 692]","(42.51870902,-0.36403034)","[-0.36403034,42.51870902]"
4438,Soto del Real,Comunidad de Madrid,Madrid,8981,43.213762,3.708818612150707,4,"[2429, 5955, 7114, 7125]","[390, 148, 157, 229, 309, 947]","(40.75294194,-3.78826026)","[-3.78826026,40.75294194]"
5836,Reinosa,Cantabria,Cantabria,8946,4.0585,1.1365991607210388,4,"[1736, 8113, 9634, 9666]","[252, 934, 955, 137, 792, 637]","(43.00105556,-4.137972222)","[-4.137972222,43.00105556]"
7594,Zalla,País Vasco,Bizkaia,8450,31.077800000000003,3.1452103027031755,10,"[1264, 1277, 5692, 6672, 7524, 8223, 9369, 9643, 9701, 10325]","[989, 1083, 264, 928, 272, 342, 371, 387, 132, 227, 314, 377, 982, 801]","(43.2133741,-3.12995548)","[-3.12995548,43.2133741]"
7571,Ondarroa,País Vasco,Bizkaia,8395,4.2953,1.1692874996933558,5,"[1072, 2633, 4304, 9025, 9394]","[273, 290, 328, 379, 382, 992, 1059, 357]","(43.32083031,-2.42042611)","[-2.42042611,43.32083031]"
2196,Padrón,Galicia,A Coruña,8366,48.374163,3.924020681862968,4,"[1536, 9322, 9359, 9700]","[96, 890, 748, 578]","(42.73732717,-8.6604106)","[-8.6604106,42.73732717]"
5789,Cabezón de la Sal,Cantabria,Cantabria,8358,33.2286,3.252224953857984,5,"[1767, 5367, 7090, 9625, 9634]","[288, 1101, 838, 250, 716, 137, 792]","(43.30894444,-4.236861111)","[-4.236861111,43.30894444]"
3243,Aracena,Andalucía,Huelva,8255,184.452493,7.6624353019658065,5,"[2483, 3242, 3250, 9001, 9399]","[677, 976, 685, 312, 659]","(37.8894945,-6.56158282)","[-6.56158282,37.8894945]"
1794,Olvera,Andalucía,Cádiz,8062,193.6929,7.852020171855188,3,"[4867, 4941, 7486]","[426, 974, 1094, 231, 754]","(36.93513981,-5.26815266)","[-5.26815266,36.93513981]"
4679,Baztan,Navarra,Navarra,7850,370.9896,10.866893815945213,8,"[2342, 2904, 4192, 6165, 7564, 8275, 9310, 9617]","[24, 617, 350, 1080, 396, 152, 882, 1000, 150]","(43.14547597,-1.51610308)","[-1.51610308,43.14547597]"
4638,Altsasu,Navarra,Navarra,7465,26.723478,2.916560876978477,6,"[750, 752, 753, 7588, 9681, 10359]","[1043, 615, 957, 373, 731, 322, 596, 776, 276, 1095, 1105]","(42.89495157,-2.17054551)","[-2.17054551,42.89495157]"
3544,Cazorla,Andalucía,Jaén,7352,305.403906,9.859657967343608,3,"[8321, 9114, 9471]","[500, 651, 636, 752]","(37.91223066,-3.00134534)","[-3.00134534,37.91223066]"
220,Jijona,Comunitat Valenciana,Alicante,6879,163.760691,7.21987015250957,4,"[301, 1239, 1974, 9425]","[644, 429, 534, 601, 626, 643, 802, 956]","(38.53902509,-0.50791278)","[-0.50791278,38.53902509]"
7596,Derio,País Vasco,Bizkaia,6730,10.1525,1.7976744873630253,6,"[1603, 3263, 8724, 9720, 9961, 9990]","[172, 338, 606, 671, 848, 385, 526, 358, 536, 983]","(43.291325,-2.88697)","[-2.88697,43.291325]"
392,Arenas de San Pedro,,Ávila,6344,194.617265,7.870734057831987,4,"[1899, 4526, 5976, 10469]","[948, 165, 633, 139, 665]","(40.20868842,-5.0911461)","[-5.0911461,40.20868842]"
5006,Cangas de Onís,Asturias,Asturias,6209,213.2352,8.238611140342305,3,"[3980, 4680, 7773]","[30, 135, 68, 1118]","(43.34839001,-5.12749781)","[-5.12749781,43.34839001]"
2806,Órgiva,Andalucía,Granada,5784,134.13909999999998,6.534347848714202,4,"[1745, 1943, 2041, 3518]","[451, 55, 5, 13, 124]","(36.90119925,-3.42391088)","[-3.42391088,36.90119925]"
1337,Medina de Pomar,,Burgos,5734,214.196408,8.257159003881464,3,"[4669, 7968, 9332]","[376, 1088, 287, 867, 34, 58]","(42.92852281,-3.48750314)","[-3.48750314,42.92852281]"
6423,La Sénia,Cataluña,Tarragona,5640,108.4967,5.876690520123975,4,"[278, 4064, 4253, 8033]","[435, 8, 254, 1119]","(40.6361383,0.28236554)","[0.28236554,40.6361383]"
1925,Torreblanca,Comunitat Valenciana,Castellón,5574,29.814,3.0805955195018115,3,"[3910, 5271, 9463]","[798, 728, 959, 112, 631]","(40.22098739,0.19581098)","[0.19581098,40.22098739]"
4243,Castro de Rei,,Lugo,5073,176.970735,7.505424890596673,7,"[2088, 2089, 4676, 7910, 9493, 9870, 10433]","[575, 528, 593, 448, 418, 630, 469, 583]","(43.20732709,-7.398831947)","[-7.398831947,43.20732709]"
36,Agurain,País Vasco,Álava,5038,37.769884000000005,3.4673475977152504,3,"[3316, 5241, 9681]","[776, 1095, 1105, 364, 276, 322, 596]","(42.850452,-2.389753)","[-2.389753,42.850452]"
5054,Salas,Asturias,Asturias,4900,227.114383,8.502504592878653,3,"[3423, 6528, 9707]","[28, 60, 476, 90, 430, 85]","(43.40880659,-6.26094697)","[-6.26094697,43.40880659]"
139,Agost,Comunitat Valenciana,Alicante,4794,66.635352,4.605501244297948,6,"[678, 1239, 2874, 9425, 9550, 9628]","[534, 918, 429, 601, 626, 643, 802, 956, 837, 1089, 99]","(38.43949316,-0.63891979)","[-0.63891979,38.43949316]"
1484,Valle de Mena,,Burgos,3805,262.6915,9.144238947735476,8,"[1264, 5478, 5491, 5692, 6244, 7995, 9369, 9643]","[989, 1022, 336, 393, 264, 717, 368, 400, 387, 132, 227, 314, 377]","(43.10120829,-3.28210215)","[-3.28210215,43.10120829]"
3740,La Robla,,León,3752,85.21857200000001,5.208248316087377,6,"[2260, 4180, 4335, 5380, 9462, 9705]","[866, 1074, 937, 1098, 689, 843]","(42.80214837,-5.62816206)","[-5.62816206,42.80214837]"
4263,Mondoñedo,,Lugo,3539,142.692282,6.739455306655345,4,"[2088, 2089, 7910, 9493]","[575, 528, 448, 418, 630]","(43.42972589,-7.363834875)","[-7.363834875,43.42972589]"
4523,Colmenar,Andalucía,Málaga,3409,65.95392799999999,4.581892428087084,3,"[9081, 9107, 9545]","[1104, 826, 108, 109]","(36.90317629,-4.33648163)","[-4.33648163,36.90317629]"
4251,A Fonsagrada,,Lugo,3389,438.4218,11.813283494495254,3,"[4676, 9716, 9870]","[593, 829, 469]","(43.12638889,-7.067361111)","[-7.067361111,43.12638889]"
2659,La Vall d'en Bas,Cataluña,Girona,3093,90.6389,5.371330419569296,3,"[6779, 7277, 7855]","[715, 101, 49]","(42.11759527,2.45692713)","[2.45692713,42.11759527]"
4526,Cortes de la Frontera,Andalucía,Málaga,3065,175.2752,7.46938407752479,3,"[3118, 4867, 5809]","[171, 488, 426, 974, 151]","(36.61781253,-5.34243171)","[-5.34243171,36.61781253]"
3244,Aroche,Andalucía,Huelva,3054,498.437462,12.595920005676708,3,"[2483, 3250, 9399]","[677, 976, 312, 685, 659]","(37.94521471,-6.95381063)","[-6.95381063,37.94521471]"
4835,Puente la Reina,Navarra,Navarra,2889,39.707085,3.555155151503308,4,"[964, 1163, 4314, 9694]","[949, 957, 988, 286]","(42.67218099,-1.81406821)","[-1.81406821,42.67218099]"
5834,Ramales de la Victoria,Cantabria,Cantabria,2877,32.5199,3.217356284541017,7,"[2095, 4169, 5121, 5982, 6770, 9361, 9643]","[227, 360, 377, 821, 859, 1034, 267, 305, 381, 132, 314]","(43.25652778,-3.464472222)","[-3.464472222,43.25652778]"
1932,Vall d'Alba,Comunitat Valenciana,Castellón,2856,52.91589,4.104096920824763,4,"[2053, 9463, 9467, 9804]","[631, 112, 588, 710]","(40.17552005,-0.03507496)","[-0.03507496,40.17552005]"
4727,Esteribar,Navarra,Navarra,2726,149.1328,6.889871812158819,9,"[1623, 2342, 2601, 2773, 6165, 6805, 7564, 7577, 8275]","[891, 24, 617, 946, 984, 396, 871, 152, 1080, 916]","(42.93030806,-1.50390693)","[-1.50390693,42.93030806]"
7510,Bakio,País Vasco,Bizkaia,2676,16.5895,2.297953330363932,3,"[1524, 3338, 9618]","[327, 722, 589, 825, 835]","(43.42139025,-2.81421046)","[-2.81421046,43.42139025]"
1889,Morella,Comunitat Valenciana,Castellón,2416,413.539074,11.473154220250423,3,"[4253, 9530, 9647]","[254, 696, 380]","(40.61933991,-0.10023042)","[-0.10023042,40.61933991]"
5839,Ribamontán al Monte,Cantabria,Cantabria,2303,42.297778,3.66930094389349,3,"[5480, 10371, 10374]","[82, 1034, 522]","(43.40688889,-3.663305556)","[-3.663305556,43.40688889]"
48,Zuia,País Vasco,Álava,2300,122.486671,6.244087373881891,9,"[994, 3317, 3743, 4112, 4982, 9606, 9744, 9960, 10294]","[317, 295, 279, 373, 686, 961, 556, 781, 365, 326, 325, 517, 791]","(42.95597763,-2.81862854)","[-2.81862854,42.95597763]"
4897,Irurtzun,Navarra,Navarra,2247,3.744774,1.0917856008939335,6,"[752, 964, 1531, 7558, 7560, 10088]","[615, 957, 949, 971, 394, 378, 341, 1043]","(42.91831211,-1.82803648)","[-1.82803648,42.91831211]"
3517,Aínsa-Sobrarbe,Aragón,Huesca,2242,284.765814,9.520691250077231,5,"[1238, 3923, 4110, 7305, 8163]","[570, 642, 193, 221, 179, 491]","(42.41711065,0.13960049)","[0.13960049,42.41711065]"
3586,La Puerta de Segura,Andalucía,Jaén,2234,97.452195,5.569553353791791,3,"[9198, 9411, 9823]","[236, 564, 758, 37]","(38.34876359,-2.73825218)","[-2.73825218,38.34876359]"
4280,A Pontenova,,Lugo,2201,135.8469,6.575812509525178,5,"[7910, 9493, 9567, 9870, 10433]","[448, 418, 630, 482, 469, 593, 583]","(43.34755556,-7.1925)","[-7.1925,43.34755556]"
1582,Cabezuela del Valle,Extremadura,Cáceres,2129,56.572255,4.243520465476963,4,"[5059, 6520, 9226, 9353]","[301, 213, 44, 100]","(40.19403446,-5.80658855)","[-5.80658855,40.19403446]"
4120,Ezcaray,La Rioja,La Rioja,2045,142.84999299999998,6.743178678002933,3,"[3154, 5723, 9612]","[65, 316, 169]","(42.32594879,-3.014411)","[-3.014411,42.32594879]"
5803,Corvera de Toranzo,Cantabria,Cantabria,2042,50.0364,3.990870023527527,4,"[1736, 2492, 9373, 10496]","[252, 158, 278, 1076, 792, 841]","(43.21258333,-3.939277778)","[-3.939277778,43.21258333]"
1789,Grazalema,Andalucía,Cádiz,2013,122.4108,6.242153210212868,4,"[2817, 4867, 7949, 9014]","[47, 119, 426, 974, 215]","(36.75954041,-5.36966273)","[-5.36966273,36.75954041]"
2182,Monfero,Galicia,A Coruña,1907,171.673579,7.392243881788745,5,"[1025, 5587, 9622, 10055, 10057]","[439, 785, 789, 747, 672, 695]","(43.33437119,-8.055871064)","[-8.055871064,43.33437119]"
5052,Ribera de Arriba,Asturias,Asturias,1837,21.984008,2.645318642555542,8,"[794, 3387, 4716, 5304, 5317, 5332, 8985, 9320]","[51, 131, 986, 1056, 1, 84, 1071, 0, 463]","(43.30958383,-5.87580874)","[-5.87580874,43.30958383]"
4511,El Burgo,Andalucía,Málaga,1792,118.3514,6.137779123542276,3,"[5575, 6202, 8215]","[951, 688, 700]","(36.78802751,-4.94538626)","[-4.94538626,36.78802751]"
4416,Rascafría,Comunidad de Madrid,Madrid,1725,150.284913,6.916434174364105,4,"[3267, 4472, 5755, 5955]","[217, 7, 157, 229, 148]","(40.90566571,-3.88095982)","[-3.88095982,40.90566571]"
2818,Polopos,Andalucía,Granada,1722,26.4985,2.904258045527104,3,"[101, 2041, 2066]","[13, 239, 440, 5]","(36.79588888,-3.29721867)","[-3.29721867,36.79588888]"
1274,Espinosa de los Monteros,,Burgos,1651,137.461885,6.614784550524677,5,"[5517, 5692, 9332, 9584, 9643]","[54, 158, 285, 264, 34, 58, 314, 132, 227, 377]","(43.07635915,-3.55285424)","[-3.55285424,43.07635915]"
1398,Quintanar de la Sierra,,Burgos,1603,59.904016,4.366691645358416,3,"[3651, 5341, 5833]","[41, 89, 352, 204, 682]","(41.9799781,-3.04147747)","[-3.04147747,41.9799781]"
5067,Teverga,Asturias,Asturias,1554,176.31470000000002,7.491500574018668,10,"[1384, 3054, 3423, 4575, 4716, 5317, 6528, 7536, 7832, 8985]","[42, 153, 884, 28, 60, 476, 1, 84, 131, 90, 430, 411, 0]","(43.1589266,-6.10291272)","[-6.10291272,43.1589266]"
4888,Valle de Yerri,Navarra,Navarra,1543,252.607348,8.967007759782126,6,"[752, 964, 1117, 4314, 7044, 9694]","[615, 957, 949, 596, 776, 1054, 286]","(42.72891269,-2.0005221)","[-2.0005221,42.72891269]"
6704,Mora de Rubielos,Aragón,Teruel,1512,166.227935,7.274054669814138,4,"[4920, 4921, 9708, 10337]","[669, 1115, 475, 71]","(40.25239335,-0.75353912)","[-0.75353912,40.25239335]"
3470,Sallent de Gállego,Aragón,Huesca,1477,162.138163,7.184014165061865,3,"[3194, 3198, 7771]","[535, 129, 195, 692]","(42.77273083,-0.33156802)","[-0.33156802,42.77273083]"
1314,Ibeas de Juarros,,Burgos,1405,130.268812,6.439390790754035,3,"[6661, 8720, 8797]","[395, 527, 771]","(42.33032757,-3.53657685)","[-3.53657685,42.33032757]"
