ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords,coords_MDB
884,Barcelona,Cataluña,Barcelona,1664182,100.7644,5.663411488835749,3,"[1247, 6787, 10190]","[388, 315, 323, 822]","(41.38424664,2.17634927)","[2.17634927,41.38424664]"
7257,València,Comunitat Valenciana,Valencia,800215,139.2687,6.658115377640355,3,"[486, 1460, 9283]","[238, 533, 906]","(39.47534441,-0.37565717)","[-0.37565717,39.47534441]"
4613,Murcia,Región de Murcia,Murcia,459403,885.1149,16.785117343870944,6,"[691, 1691, 6089, 6099, 6769, 8083]","[11, 787, 1055, 978, 1001, 1012, 1103]","(37.98436361,-1.1285408)","[-1.1285408,37.98436361]"
151,Alicante,Comunitat Valenciana,Alicante,337482,201.265845,8.004046376887215,9,"[301, 484, 678, 1239, 1974, 9425, 9503, 9550, 9628]","[644, 956, 534, 918, 429, 601, 626, 643, 802, 21, 1089, 99, 837]","(38.34548705,-0.4831832)","[-0.4831832,38.34548705]"
2076,Córdoba,Andalucía,Córdoba,326039,1254.9326,19.98640835596093,3,"[2620, 2642, 7498]","[944, 925, 964]","(37.87954225,-4.78032455)","[-4.78032455,37.87954225]"
5018,Gijón,Asturias,Asturias,271717,183.9527,7.6520471820216125,3,"[3387, 5593, 7079]","[986, 1056, 726, 542]","(43.53920222,-5.65949323)","[-5.65949323,43.53920222]"
44,Vitoria-Gasteiz,País Vasco,Álava,253996,276.6596,9.384203741255702,10,"[994, 3316, 3317, 3743, 4112, 5241, 8220, 9606, 10294, 10409]","[317, 776, 1095, 1105, 295, 279, 373, 686, 961, 364, 375, 365, 935]","(42.85058789,-2.67275685)","[-2.67275685,42.85058789]"
4599,Cartagena,Región de Murcia,Murcia,216108,560.1864,13.353368573271268,3,"[2534, 4968, 5891]","[274, 339, 694]","(37.60017342,-0.98210494)","[-0.98210494,37.60017342]"
4830,Pamplona,Navarra,Navarra,203944,25.1367,2.828646567822352,13,"[964, 1163, 1531, 2601, 2773, 4692, 6165, 6805, 7558, 7560, 7564, 7577, 9695]","[949, 957, 988, 971, 946, 984, 391, 396, 871, 394, 378, 152, 1080, 916, 704]","(42.814102,-1.6451528)","[-1.6451528,42.814102]"
3217,Donostia,País Vasco,Gipuzkoa,188240,60.889045,4.402447008348774,11,"[470, 2725, 2739, 3609, 3735, 3763, 4133, 4209, 9728, 9857, 10456]","[242, 378, 394, 1090, 616, 1003, 1059, 1035, 257, 303, 812, 197, 202, 816, 525]","(43.31717158,-1.98191785)","[-1.98191785,43.31717158]"
1853,Castelló de la Plana,Comunitat Valenciana,Castellón,174264,111.3254,5.952805434316976,8,"[2053, 3668, 7916, 9467, 9676, 9804, 9806, 10019]","[631, 950, 773, 588, 710, 56, 959, 97]","(39.98640809,-0.03688142)","[-0.03688142,39.98640809]"
4147,Logroño,La Rioja,La Rioja,152485,78.9739,5.013792410605344,9,"[3062, 4380, 4381, 4385, 4394, 6689, 7951, 9735, 10362]","[266, 276, 1095, 340, 676, 173, 176, 206, 268, 38, 819]","(42.46644945,-2.44565538)","[-2.44565538,42.46644945]"
3698,León,,León,124028,39.034554,3.5249192027322667,4,"[4335, 5380, 9462, 9705]","[937, 1098, 689, 843]","(42.59912097,-5.56707631)","[-5.56707631,42.59912097]"
3565,Jaén,Andalucía,Jaén,112757,424.2281,11.62048546553887,5,"[3854, 9610, 9674, 9678, 9697]","[406, 625, 678, 81, 729, 999]","(37.7651913,-3.7903594)","[-3.7903594,37.7651913]"
4956,Ourense,Galicia,Ourense,105643,84.7715,5.194568645938462,3,"[2504, 5301, 9245]","[1113, 670, 587]","(42.33553117,-7.863836656)","[-7.863836656,42.33553117]"
2209,Santiago de Compostela,Galicia,A Coruña,97848,220.0051,8.368371082899298,7,"[1536, 1537, 1538, 9322, 9335, 9359, 9724]","[96, 890, 1013, 511, 748, 392, 759]","(42.87999954,-8.546107172)","[-8.546107172,42.87999954]"
4573,Vélez-Málaga,Andalucía,Málaga,82365,158.1888,7.095980635294222,3,"[5026, 9081, 9217]","[222, 1104, 109]","(36.7827081,-4.10210923)","[-4.10210923,36.7827081]"
168,Benidorm,Comunitat Valenciana,Alicante,70450,38.509874,3.5011490892635275,4,"[1239, 1449, 7023, 9503]","[429, 534, 601, 626, 643, 802, 956, 91, 21]","(38.53427136,-0.1306853)","[-0.1306853,38.53427136]"
2168,Ferrol,Galicia,A Coruña,65560,82.651443,5.129201681845639,8,"[1025, 3562, 5587, 9622, 9839, 10055, 10153, 10155]","[439, 785, 789, 747, 673, 672, 695, 795, 737]","(43.48451427,-8.233353008)","[-8.233353008,43.48451427]"
3723,Ponferrada,,León,64509,283.165,9.493893202933876,4,"[3231, 3403, 9566, 9742]","[237, 321, 17, 407, 122]","(42.5476828,-6.59729457)","[-6.59729457,42.5476828]"
