ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
7581,Ortuella,País Vasco,Bizkaia,8385,7.9598,1.5917528411177784,22,"[8365, 1609, 6936, 4749, 7199, 1609, 6929, 8365, 5694, 5694, 1618, 1618, 8476, 1618, 8365, 4749, 9303, 10329, 8365, 6931, 8365, 1587]",,"[-3.05702626,43.31042184]"
7580,Santurtzi,País Vasco,Bizkaia,46069,8.8651,1.6798340314783962,26,"[8365, 1609, 6936, 4749, 7199, 1609, 6929, 8365, 5694, 5694, 6940, 4934, 1618, 1618, 8476, 1618, 8365, 4749, 9303, 8604, 10329, 8365, 1572, 6931, 8365, 1587]",,"[-3.03869859,43.32400824]"
7579,Lezama,País Vasco,Bizkaia,2445,16.2932,2.277339348846351,18,"[8365, 8724, 182, 8365, 182, 182, 4934, 8724, 8724, 3253, 8365, 8604, 8365, 1029, 1572, 1028, 8365, 181]",,"[-2.8323074,43.27414931]"
7578,Valle de Trápaga-Trapagaran,País Vasco,Bizkaia,11975,12.863499999999998,2.0235042984980867,31,"[1282, 8365, 1609, 6936, 4749, 7199, 1609, 6929, 2929, 8365, 5694, 5694, 6940, 4934, 1618, 1618, 8476, 1282, 1618, 1280, 8365, 4749, 9303, 8604, 6244, 10329, 8365, 1572, 6931, 8365, 1587]",,"[-3.03774962,43.30496389]"
7577,Errigoiti,País Vasco,Bizkaia,486,16.5235,2.293377663004796,17,"[8365, 8724, 182, 8365, 182, 182, 4934, 8724, 8724, 3253, 8365, 8604, 8365, 1029, 1572, 1028, 8365]",,"[-2.72514827,43.31894643]"
7575,Plentzia,País Vasco,Bizkaia,4353,5.906499999999999,1.3711648136782888,9,"[8365, 1521, 8365, 8365, 8604, 8365, 1572, 1521, 8365]",,"[-2.94749406,43.40512375]"
7573,Orozko,País Vasco,Bizkaia,2650,102.3954,5.709062261196268,14,"[5752, 3290, 1525, 8259, 4730, 182, 182, 182, 7603, 4263, 8804, 1029, 1028, 1613]",,"[-2.911961482,43.10859972]"
7572,Urduña,País Vasco,Bizkaia,4192,33.5981,3.270257234286916,8,"[5904, 4981, 4981, 1280, 4982, 4982, 1613, 5599]",,"[-3.00709206,42.99500697]"
7571,Ondarroa,País Vasco,Bizkaia,8395,4.2953,1.1692874996933558,16,"[7133, 7133, 311, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 4995, 7133, 1200, 7133, 7133]",,"[-2.42042611,43.32083031]"
7570,Otxandio,País Vasco,Bizkaia,1330,12.3903,1.9859369980244164,14,"[1282, 1525, 311, 182, 182, 182, 1282, 3744, 3744, 3744, 8804, 9667, 1028, 3310]",,"[-2.6547924,43.04002109]"
7569,Muskiz,País Vasco,Bizkaia,7536,21.0098,2.5860416485817943,18,"[1609, 6936, 4749, 7199, 1609, 6929, 3270, 5694, 5694, 1618, 1618, 8476, 1618, 4749, 10329, 6931, 2497, 1587]",,"[-3.12481,43.32291]"
7568,Aulesti,País Vasco,Bizkaia,657,25.5577,2.852235886873174,14,"[7133, 7133, 9764, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133]",,"[-2.56248971,43.29697163]"
7567,Mungia,País Vasco,Bizkaia,17665,44.4588,3.76186688695545,13,"[1521, 8724, 4934, 8724, 8724, 3253, 8604, 1572, 9618, 1521, 1028, 181, 4191]",,"[-2.84769658,43.35405947]"
7565,Muxika,País Vasco,Bizkaia,1468,49.8749,3.9844242517939374,33,"[8365, 1525, 7133, 7133, 311, 9764, 8724, 182, 8365, 7133, 7133, 182, 7133, 7133, 182, 7133, 4934, 7133, 7133, 8724, 8724, 3253, 8365, 7133, 8604, 8365, 7133, 1029, 1572, 1028, 8365, 7133, 7133]",,"[-2.70905643,43.29265819]"
7563,Ugao-Miraballes,País Vasco,Bizkaia,4148,5.2573,1.293617660434422,10,"[8259, 4730, 182, 182, 182, 9561, 8804, 1029, 1028, 1613]",,"[-2.90160794,43.18037434]"
7562,Meñaka,País Vasco,Bizkaia,754,12.4861,1.993599703027256,11,"[1521, 8724, 4934, 8724, 8724, 3253, 8604, 1572, 9618, 1521, 1028]",,"[-2.79848121,43.36650837]"
7558,Markina-Xemein,País Vasco,Bizkaia,5068,45.3242,3.798303200972636,16,"[7133, 7133, 9764, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 4995, 7133, 1200, 7133, 7133]",,"[-2.49812305,43.26711735]"
7557,Mañaria,País Vasco,Bizkaia,522,17.5881,2.366105030967701,6,"[1282, 1525, 182, 182, 182, 1282]",,"[-2.66003579,43.13928032]"
7556,Mallabia,País Vasco,Bizkaia,1173,23.1131,2.7123994960603928,26,"[4894, 2774, 3289, 7133, 2774, 7133, 7133, 7133, 7133, 7133, 7133, 3289, 7133, 7133, 4894, 2774, 7133, 4894, 7133, 9477, 7133, 2774, 4894, 7133, 4894, 4894]",,"[-2.529113,43.189861]"
7555,Lekeitio,País Vasco,Bizkaia,7317,1.7933,0.7555288108729397,16,"[7133, 7133, 311, 9764, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 7133, 1200, 7133, 7133]",,"[-2.50296026,43.36301895]"
7554,Lemoiz,País Vasco,Bizkaia,1258,18.9101,2.453417555794617,15,"[8365, 1521, 8724, 8365, 4934, 8724, 8724, 8365, 8604, 8365, 1572, 1521, 1028, 8365, 4191]",,"[-2.90220839,43.41118975]"
