ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords
7227,Sagunto,Comunitat Valenciana,Valencia,67173,133.9221,6.529060324749417,3,"[528, 2478, 5225]",,"(39.68008485,-0.2759603)"
2168,Ferrol,Galicia,A Coruña,65560,82.651443,5.129201681845639,8,"[3172, 5149, 5588, 6920, 8675, 9657, 10055, 10155]",,"(43.48451427,-8.233353008)"
3723,Ponferrada,,León,64509,283.165,9.493893202933876,6,"[7, 1147, 2809, 5630, 8120, 9137]",,"(42.5476828,-6.59729457)"
3193,Irun,País Vasco,Gipuzkoa,62910,42.397687,3.6736319038397953,13,"[211, 226, 253, 334, 2719, 3641, 3771, 7133, 7243, 7636, 7639, 7640, 8913]",,"(43.34003194,-1.78736072)"
146,Alcoy,Comunitat Valenciana,Alicante,59354,129.860503,6.429291194887109,6,"[629, 653, 1481, 3189, 5002, 8422]",,"(38.69836894,-0.47318376)"
257,San Vicente del Raspeig,Comunitat Valenciana,Alicante,58978,40.55084,3.59272919675732,8,"[621, 629, 647, 680, 3189, 8145, 9500, 9550]",,"(38.39613348,-0.52499072)"
2800,Motril,Andalucía,Granada,58460,103.3109,5.734527349448133,4,"[2302, 3927, 5257, 8315]",,"(36.74574584,-3.52123441)"
2295,Cuenca,Castilla-La Mancha,Cuenca,54621,910.5992,17.025041847551314,4,"[2561, 2565, 2567, 8426]",,"(40.07653762,-2.13152306)"
3416,Huesca,Aragón,Huesca,53956,161.043005,7.159710938344641,3,"[723, 6441, 8859]",,"(42.14062739,-0.40842276)"
5864,Torrelavega,Cantabria,Cantabria,51597,35.5328,3.363096054994706,5,"[686, 784, 2347, 3219, 6299]",,"(43.34911111,-4.050638889)"
5061,Siero,Asturias,Asturias,51509,211.232775,8.19983678730414,7,"[2255, 3378, 3381, 3940, 3987, 4485, 5310]",,"(43.39474647,-5.66321486)"
4561,Rincón de la Victoria,Andalucía,Málaga,48768,27.9992,2.985364521154164,5,"[2933, 4546, 5035, 8390, 8425]",,"(36.71634307,-4.29230385)"
1161,Vic,Cataluña,Barcelona,47630,30.794448000000003,3.130839235136797,3,"[7859, 7865, 8335]",,"(41.92838354,2.25573569)"
