ID,name,ccaa,province,start,midpoint,trailrank,distance,gradient,min_alt,max_alt,municipality,mountain_passes_ids,municipalities_ids,difficulty_score
5760,Puerto Lobo y Blancares por Guadix.,,,"[-3.596678,37.18232]","[-3.192716,37.315234]",91,128,2132,669,1301,,"[714, 1030]",[2761],6
8335,Santuari Del Far por Vic y La Vall d'en Bas.,,,"[2.286948,41.87122]","[2.53648,42.021362]",79,145,2999,428,1115,,[715],"[1161, 2659]",7
2347,Piedrasluengas y Soplao. El por Torrelavega y Cabezón de la Sal.,,,"[-4.107972,43.361707]","[-4.452242,43.04759]",35,169,3081,26,1349,,"[87, 250, 288, 716]","[5864, 5789]",8
6244,Ozeka por Amurrio y Valle de Mena.,,,"[-2.997809,43.302738]","[-3.111844,43.074012]",29,100,1171,2,594,,[717],"[1, 1484]",4
5609,El Navaliegu por Laviana y Lena.,,,"[-5.80614,43.128132]","[-5.222314,43.110023]",39,176,2507,253,1609,,[719],"[5026, 5027, 5009]",7
8119,Paresi y San Pelayo por Bermeo.,,,"[-2.811854,43.430061]","[-2.720904,43.360479]",29,49,1078,2,402,,"[214, 327, 722]",[7515],3
8244,Bidania y Regil por Zarautz y Tolosa.,,,"[-2.168132,43.279682]","[-2.164289,43.161829]",60,74,1362,51,599,,"[724, 856]","[3227, 3219, 3165]",4
3502,La Casilla por Gijón y Villaviciosa.,,,"[-5.666315,43.540234]","[-5.489981,43.469249]",69,75,1322,0,438,,[726],"[5018, 5071]",4
533,Serratella por Alcalà de Xivert y Albocàsser.,,,"[0.276779,40.244003]","[0.049333,40.343022]",32,88,1480,0,832,,[728],"[1820, 1819]",4
8695,Collado De Los Yesos y Collado De Los Jardines por Jaén y Cambil.,,,"[-3.730781,37.776708]","[-3.351007,37.750993]",37,112,1939,392,1168,,"[729, 999]","[3565, 3536]",5
5765,Peña Negra y Plataforma De Gredos por Piedrahíta.,,,"[-5.323265,40.465033]","[-5.231019,40.278983]",37,89,2118,1060,1879,,"[136, 730]",[553],5
7658,Aseginolaza y Urkillaga por Tolosa y Altsasu.,,,"[-2.051737,43.272115]","[-2.084053,42.895793]",57,156,1266,48,728,,"[731, 873, 1043]","[3219, 4638, 3210]",5
3771,Jaizkibel y Agiña por Donostia y Irun.,,,"[-1.78901,43.339403]","[-1.808018,43.272188]",54,74,1374,0,545,,"[257, 732, 842]","[3217, 3193]",4
10155,Monte De Ancos por Ferrol.,,,"[-8.187603,43.43909]","[-8.140262,43.507003]",8,37,911,2,332,,[737],[2168],3
1302,Culou por Noia.,,,"[-9.020446,42.700842]","[-8.803896,42.802191]",21,58,927,0,510,,[740],[2189],3
5588,O Faro y O Cristo De Portapena por Ferrol y Viveiro.,,,"[-8.222801,43.431263]","[-7.734864,43.43715]",32,103,1867,0,716,,"[539, 742, 785]","[2168, 4298, 4254]",5
9139,Cruz De Soto por Riaza.,,,"[-3.688526,41.136285]","[-3.553531,41.4493]",29,182,2480,916,1310,,[745],[6027],7
4662,Miñide y Campa San Juan por Cangas del Narcea y A Fonsagrada.,,,"[-7.06742,43.12598]","[-6.80461,43.14465]",41,127,4089,208,1136,,"[746, 829]","[5005, 4251, 5022]",10
2687,A Áspera por Aranga y Xermade.,,,"[-7.853484,43.448777]","[-8.032678,43.304728]",21,112,2281,11,756,,[747],"[2135, 4254]",6
9322,Pena Da Agrela por Santiago de Compostela y Padrón.,,,"[-8.517364,42.893641]","[-8.599602,42.7478]",24,62,1134,63,449,,[748],"[2209, 2196]",4
7959,Alto De Encajacabras y Collado De La Traviesa por Villacarrillo y Beas de Segura.,,,"[-2.995803,38.163527]","[-2.897836,38.079183]",32,89,1964,432,1384,,"[551, 752]","[3606, 3531]",5
374,Puerto Del Zamorano por Morón de la Frontera y Olvera.,,,"[-5.464151,37.121351]","[-5.14222,37.032795]",58,84,1437,200,776,,[754],"[6155, 1794, 6180]",4
6964,El Bellotar por Yeste y Siles.,,,"[-2.628037,38.577801]","[-2.229676,38.496811]",39,135,4450,795,1358,,[758],"[136, 3595, 117]",10
9724,Santa Cecía por Santiago de Compostela.,,,"[-8.630409,42.870157]","[-8.686015,42.823717]",13,53,2038,92,568,,[759],[2209],5
9508,Cerro De Los Ángeles por Montroi.,,,"[-0.64646,39.436013]","[-0.945053,39.309345]",19,120,2218,77,763,,[760],[7183],6
7571,Gaucín y El Espino por Cortes de la Frontera.,,,"[-5.449889,36.662426]","[-5.367928,36.524302]",40,91,1853,228,836,,"[151, 171, 488, 761, 853, 909]",[4526],5
8799,Cuetos por Peñamellera Baja.,,,"[-4.632688,43.378207]","[-4.803171,43.413214]",35,60,729,17,147,,[766],[5042],3
8158,Altotero por Burgos.,,,"[-3.677355,42.362316]","[-3.631251,42.265862]",37,80,845,835,1017,,[771],[1224],3
5225,El Colladico por València y Sagunto.,,,"[-0.247228,39.966119]","[-0.390518,40.134447]",77,188,3315,7,972,,[773],"[7257, 7227, 1893, 1881]",9
9258,La Borriqueta y El Arguellite por Yeste y Nerpio.,,,"[-2.317775,38.369056]","[-2.349827,38.268079]",26,93,2045,577,1388,,"[95, 775]","[136, 105]",5
8502,Salinas De Léniz y Urbasa por Arrasate y Altsasu.,,,"[-2.40754,43.119937]","[-2.177347,42.83563]",42,165,2225,138,1010,,"[279, 322, 373, 386, 596, 731, 776]","[3203, 4638, 36]",7
3339,Elgeta y Lekoitz-Gane por Durango y Arrasate.,,,"[-2.679078,43.324135]","[-2.51121,43.342487]",31,209,2981,0,563,,"[290, 331, 353, 357, 379, 382, 782, 1042]","[7525, 3203, 7544, 7515, 7571]",8
8675,A Capela por Ferrol.,,,"[-8.176107,43.410894]","[-8.196122,43.451765]",37,83,1641,0,453,,[785],[2168],5
1691,Cresta Del Gallo y Puerto Del Garruchal por Murcia y Orihuela.,,,"[-0.685575,37.979594]","[-1.052642,37.906243]",37,144,1705,0,458,,"[787, 1103]","[4613, 235]",5
3189,Ermita De Sant Antoni por Alicante y Alcoy.,,,"[-0.473691,38.443278]","[-0.528557,38.677881]",47,110,1931,89,1050,,[788],"[151, 146, 190, 220, 139]",5
5149,Breamo por Ferrol.,,,"[-8.214359,43.422371]","[-8.155897,43.384007]",36,32,688,7,315,,[789],[2168],2
4374,La Barrerilla y Altube por Amurrio y Zuia.,,,"[-2.955647,43.144408]","[-2.866349,42.96298]",34,66,578,168,722,,"[325, 326, 791]","[1, 48]",3
6299,Collado De Cieza por Torrelavega y Corvera de Toranzo.,,,"[-4.045708,43.341285]","[-4.006097,43.203885]",43,68,1011,47,575,,[792],"[5864, 5803]",3
9657,Sotavento por Ferrol.,,,"[-8.185498,43.430375]","[-8.309935,43.562944]",16,92,1348,5,213,,[795],[2168],4
8429,Coll De La Bandereta por Alcalà de Xivert y Cabanes.,,,"[0.275112,40.24305]","[-0.036935,40.291938]",47,103,3277,35,836,,[798],"[1820, 1846, 1819]",7
10311,El Bellotar y Puerto De Onsares por Yeste y Siles.,,,"[-2.349684,38.484295]","[-2.634207,38.466619]",29,105,1757,562,1148,,"[758, 799]","[136, 3595, 117]",5
10325,Rigadas por Zalla.,,,"[-2.944642,43.25777]","[-3.143677,43.186154]",8,59,803,14,415,,[801],[7594],3
1481,Tudons y Puerto De Benifallim por Alcoy y Relleu.,,,"[-0.389552,38.777073]","[-0.315988,38.590263]",49,90,3208,453,1094,,"[534, 802, 956]","[146, 247]",7
1029,Aretxabalgane y Muniketa por Durango y Gernika-Lumo.,,,"[-2.679098,43.324165]","[-2.885213,43.20562]",26,146,1663,5,440,,"[338, 353, 414, 804, 1042]","[7525, 7544]",5
1572, El Vivero - Ganguren y Aretxabalgane por Etxebarri y Gorliz.,,,"[-2.93994,43.26834]","[-2.871733,43.297225]",35,121,1564,29,464,,"[172, 338, 606, 671, 805]","[7527, 7541]",5
9522,Chiclana De Segura por Úbeda y Villacarrillo.,,,"[-3.355079,38.032086]","[-3.04874,38.298899]",19,135,4615,469,963,,[810],"[3603, 3606]",10
3306,Salinas De Léniz y Arlaban por Vitoria-Gasteiz y Arrasate.,,,"[-2.695576,42.848235]","[-2.516646,43.076281]",30,98,1418,212,627,,"[279, 373, 638, 811, 883, 961]","[44, 3203]",4
7659,Aia y Andazarrate por Zarautz.,,,"[-2.052377,43.271904]","[-2.196327,43.298583]",47,95,1146,38,495,,"[812, 911]",[3227],4
3407,Arano por Donostia.,,,"[-1.951784,43.279867]","[-1.858464,43.203388]",47,61,815,24,462,,[816],[3217],3
10357,Udana y Gabiria por Ormaiztegi.,,,"[-2.412615,43.033011]","[-2.284582,43.06992]",13,51,954,212,503,,"[386, 397, 817, 1065]",[3210],3
6313,Portixol por Xaló.,,,"[0.104167,38.844256]","[0.137554,38.708668]",43,87,1259,0,306,,[818],[218],4
4163,La Quesera y La Quesera por Riaza.,,,"[-3.472834,41.205079]","[-3.44958,41.247895]",44,52,1328,1134,1751,,"[117, 118, 498, 820]",[6027],4
1732,El Tibidabo y Santa Creu D´Olorda por Barcelona.,,,"[2.084341,41.479085]","[2.0716,41.419265]",50,56,1273,94,499,,"[315, 323, 822]",[884],4
1360,Gabiria y Bidania por Tolosa y Azkoitia.,,,"[-2.208392,43.047867]","[-2.232726,43.113285]",32,122,2256,36,553,,"[397, 724, 823, 856, 917, 1065, 1090]","[3219, 3165, 3210]",6
3747,Los Alazores y Ochichar por Loja y Albolote.,,,"[-3.604445,37.161066]","[-4.203037,37.000771]",86,180,1794,457,1150,,"[826, 970]","[2787, 2689, 2771, 2697]",6
6296,Puerto Viejo y Villamiel por Valverde del Fresno.,,,"[-6.798175,40.21239]","[-6.832935,40.28247]",31,72,1513,419,1079,,"[674, 827]",[1751],4
6043,Campa San Juan por Cangas del Narcea y A Fonsagrada.,,,"[-6.612435,43.271167]","[-6.876193,43.062208]",35,158,3695,231,1147,,[829],"[5005, 4251, 5022]",9
