ID,municipality,ccaa,province,municipality_inhabitants,geographic_area,radius,routes_number,routes_ids,mountain_passes_ids,coords,coords_MDB
4531,Estepona,Andalucía,Málaga,70228,137.3742,6.612674475033368,3,"[120, 3117, 3128]","[14, 426, 151, 171, 488]","(36.42657668,-5.1463572)","[-5.1463572,36.42657668]"
7227,Sagunto,Comunitat Valenciana,Valencia,67173,133.9221,6.529060324749417,3,"[528, 2478, 5225]","[112, 631, 773, 533]","(39.68008485,-0.2759603)","[-0.2759603,39.68008485]"
2168,Ferrol,Galicia,A Coruña,65560,82.651443,5.129201681845639,8,"[3172, 5149, 5588, 6920, 8675, 9657, 10055, 10155]","[673, 789, 539, 742, 785, 503, 795, 672, 695, 737]","(43.48451427,-8.233353008)","[-8.233353008,43.48451427]"
3723,Ponferrada,Castilla y León,León,64509,283165,9.493893202933876,6,"[7, 1147, 2809, 5630, 8120, 9137]","[160, 321, 452, 6, 32, 80, 162, 17, 407, 122]","(42.5476828,-6.59729457)","[-6.59729457,42.5476828]"
3193,Irun,País Vasco,Gipuzkoa,62910,42.397687,3.6736319038397953,13,"[211, 226, 253, 334, 2719, 3641, 3771, 7133, 7243, 7636, 7639, 7640, 8913]","[257, 842, 1048, 202, 732, 926, 178, 281, 290, 303, 328, 331, 341, 347, 353, 357, 379, 382, 386, 394, 609, 616, 724, 782, 812, 856, 911, 917, 1000, 1039, 1059, 1065, 1096, 125, 235, 516, 1042]","(43.34003194,-1.78736072)","[-1.78736072,43.34003194]"
146,Alcoy,Comunitat Valenciana,Alicante,59354,129.860503,6.429291194887109,6,"[629, 653, 1481, 3189, 5002, 8422]","[626, 643, 644, 534, 802, 956, 788, 146, 667, 918]","(38.69836894,-0.47318376)","[-0.47318376,38.69836894]"
2800,Motril,Andalucía,Granada,58460,103.3109,5.734527349448133,4,"[2302, 3927, 5257, 8315]","[5, 239, 124, 13, 440]","(36.74574584,-3.52123441)","[-3.52123441,36.74574584]"
2295,Cuenca,Castilla-La Mancha,Cuenca,54621,910.5992,17.025041847551314,4,"[2561, 2565, 2567, 8426]","[860, 993, 831, 345]","(40.07653762,-2.13152306)","[-2.13152306,40.07653762]"
3416,Huesca,Aragón,Huesca,53956,161.043005,7.159710938344641,3,"[723, 6441, 8859]","[284, 283, 120]","(42.14062739,-0.40842276)","[-0.40842276,42.14062739]"
5864,Torrelavega,Cantabria,Cantabria,51597,35.5328,3.363096054994706,5,"[686, 784, 2347, 3219, 6299]","[61, 158, 278, 285, 1076, 87, 250, 288, 716, 137, 792]","(43.34911111,-4.050638889)","[-4.050638889,43.34911111]"
5061,Siero,Asturias,Asturias,51509,211.232775,8.19983678730414,7,"[2255, 3378, 3381, 3940, 3987, 4485, 5310]","[719, 884, 1071, 1118, 542, 1023, 78, 145, 463, 545, 1056, 954]","(43.39474647,-5.66321486)","[-5.66321486,43.39474647]"
1161,Vic,Cataluña,Barcelona,47630,30.794448000000003,3.130839235136797,3,"[7859, 7865, 8335]","[101, 1122, 715]","(41.92838354,2.25573569)","[2.25573569,41.92838354]"
7024,Alzira,Comunitat Valenciana,Valencia,44938,110.49,5.930428069013382,4,"[3543, 5903, 7231, 7734]","[599, 1066, 52, 424, 447, 460]","(39.14944832,-0.43554456)","[-0.43554456,39.14944832]"
4495,Antequera,Andalucía,Málaga,41318,748.0345,15.430690838735364,4,"[5997, 8379, 8410, 9089]","[455, 86, 649, 63, 703]","(37.0142215,-4.55804451)","[-4.55804451,37.0142215]"
7191,Ontinyent,Comunitat Valenciana,Valencia,35761,125.429562,6.318653040119045,3,"[646, 7748, 8422]","[918, 146, 667]","(38.82288129,-0.60649062)","[-0.60649062,38.82288129]"
3603,Úbeda,Andalucía,Jaén,34329,403.9689,11.33962053547051,3,"[7569, 8765, 9522]","[579, 500, 636, 729, 999, 810]","(38.01149823,-3.3711916)","[-3.3711916,38.01149823]"
274,Villena,Comunitat Valenciana,Alicante,34155,345.3821,10.485145676498613,4,"[646, 650, 7748, 8422]","[918, 601, 146, 667]","(38.62963811,-0.86138343)","[-0.86138343,38.62963811]"
4563,Ronda,Andalucía,Málaga,33730,397.2364,11.24473110354518,9,"[120, 382, 393, 4541, 4584, 6199, 6385, 8396, 8834]","[14, 426, 47, 119, 974, 171, 488, 688, 700, 133, 569, 151, 761, 853, 909]","(36.73725905,-5.1654186)","[-5.1654186,36.73725905]"
2137,Arteixo,Galicia,A Coruña,32738,93.67961,5.460684596904529,3,"[8189, 10044, 10048]","[640, 693, 846]","(43.30474474,-8.505070236)","[-8.505070236,43.30474474]"
5797,Castro-Urdiales,Cantabria,Cantabria,32270,96.0552,5.529488971065105,7,"[1616, 1618, 3270, 5694, 7091, 8532, 9957]","[342, 1027, 377, 381, 510, 58, 314, 329]","(43.38375,-3.217666667)","[-3.217666667,43.38375]"
7525,Durango,País Vasco,Bizkaia,30118,10.7255,1.847707958739532,24,"[93, 182, 334, 385, 872, 1029, 1084, 1282, 1504, 1525, 3289, 3339, 3411, 3744, 4894, 4964, 7133, 7597, 8559, 8863, 8913, 8917, 8997, 9477]","[279, 373, 379, 712, 317, 338, 353, 178, 257, 281, 290, 303, 328, 331, 341, 347, 357, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 12, 417, 1042, 1110, 414, 1084, 804, 121, 757, 172, 606, 848, 174, 326, 365, 791, 138, 362, 638, 686, 699, 313, 385, 526, 985]","(43.16798721,-2.63090395)","[-2.63090395,43.16798721]"
6155,Morón de la Frontera,Andalucía,Sevilla,27633,431.93160000000006,11.725518194474535,3,"[374, 396, 7486]","[754, 1094, 231]","(37.12022462,-5.44898927)","[-5.44898927,37.12022462]"
1841,Benicarló,Comunitat Valenciana,Castellón,27363,47.864056,3.9032763917345736,4,"[1837, 5500, 5502, 8682]","[1119, 435, 942, 8, 380]","(40.41889048,0.42396296)","[0.42396296,40.41889048]"
4518,Cártama,Andalucía,Málaga,26738,105.099833,5.783963835433733,3,"[4541, 5997, 5998]","[171, 426, 488, 688, 700, 455, 951]","(36.71005782,-4.63171653)","[-4.63171653,36.71005782]"
1893,Onda,Comunitat Valenciana,Castellón,24980,108.2012,5.86868223010087,5,"[528, 586, 5225, 5226, 6989]","[112, 631, 773, 523, 945, 56]","(39.96420713,-0.26316353)","[-0.26316353,39.96420713]"
3575,Martos,Andalucía,Jaén,24343,261.100488,9.116505485596308,3,"[8589, 8765, 8827]","[19, 500, 636, 729, 999, 678]","(37.72361102,-3.96731694)","[-3.96731694,37.72361102]"
7154,Llíria,Comunitat Valenciana,Valencia,23482,228.0403,8.519818789012259,3,"[1472, 7040, 7904]","[597, 769, 238]","(39.62586366,-0.59442849)","[-0.59442849,39.62586366]"
3227,Zarautz,País Vasco,Gipuzkoa,23360,14.352811,2.1374356019260445,19,"[334, 2722, 2730, 7133, 7243, 7611, 7626, 7627, 7629, 7630, 7631, 7646, 7659, 8244, 8247, 8867, 8913, 8917, 9256]","[178, 257, 281, 290, 303, 328, 331, 341, 347, 353, 357, 379, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 367, 1042, 46, 197, 242, 378, 449, 1043, 211, 699, 573]","(43.2863354,-2.17760995)","[-2.17760995,43.2863354]"
4591,Alhama de Murcia,Región de Murcia,Murcia,22160,313.0252,9.98192280003415,3,"[691, 6089, 7021]","[11, 1055, 33]","(37.85237594,-1.42462332)","[-1.42462332,37.85237594]"
3203,Arrasate,País Vasco,Gipuzkoa,22073,33.0287,3.242427663502,23,"[93, 311, 334, 1026, 1075, 1076, 1530, 3147, 3306, 3307, 3310, 3311, 3339, 3744, 3801, 7133, 7243, 7597, 8054, 8287, 8502, 8913, 8997]","[279, 373, 379, 712, 295, 357, 178, 257, 281, 290, 303, 328, 331, 341, 347, 353, 382, 386, 394, 609, 616, 724, 732, 782, 812, 842, 856, 911, 917, 1000, 1039, 1048, 1059, 1065, 1096, 197, 1003, 273, 449, 480, 992, 883, 638, 811, 961, 251, 428, 686, 1042, 317, 397, 322, 596, 731, 776]","(43.0652967,-2.49099614)","[-2.49099614,43.0652967]"
2787,Loja,Andalucía,Granada,20419,447.4949,11.934894955387303,7,"[1520, 3460, 3501, 3747, 4006, 4400, 6680]","[198, 258, 492, 826, 833, 970, 354, 912, 1049]","(37.16628219,-4.15218743)","[-4.15218743,37.16628219]"
