ID;lat;long
8096;400402N;020755W
8155Y;393320N;015455W
8210Y;400611N;013013W
8245Y;394252N;012633W
1012P;431935N;014748W
1014A;432138N;014714W
1021X;431247N;015244W
1025X;430317N;021355W
1026X;430329N;021103W
1036A;431646N;021052W
1037X;430306N;022013W
1037Y;430448N;021904W
1038X;431021N;021602W
1041A;431808N;021504W
1048X;430130N;022756W
1049N;430818N;022945W
1050J;431234N;022448W
1052A;431902N;022350W
0281Y;414037N;024818E
0284X;414828N;030151E
0312X;421530N;022152E
0320I;421901N;020610E
0324A;421129N;021146E
0360X;420310N;023304E
0363X;415251N;023048E
367;415442N;024548E
0370E;415820N;024910E
0372C;420616N;024549E
0385X;420314N;031205E
0394X;421238N;022819E
0411X;421329N;030535E
0413A;422313N;024520E
0421X;422324N;030022E
0429X;421533N;025737E
0433D;421909N;031857E
9585;421957N;015622E
5047E;373021N;024406W
5515D;371414N;033203W
5515X;371123N;033544W
5530E;371123N;034722W
5582A;370940N;040910W
6258X;365523N;032933W
6267X;364454N;033443W
6268X;364327N;033144W
6268Y;364325N;033145W
6272X;364403N;032248W
6281X;370019N;030417W
3013;405030N;015244W
3021Y;404546N;021202W
3085Y;402428N;025711W
3103;410013N;031807W
3130C;410511N;023705W
3140Y;405906N;024536W
3158D;411627N;030833W
3168D;403749N;030900W
3209Y;404555N;025227W
9377Y;404643N;013406W
4527X;375849N;065833W
4541X;373313N;073112W
4549Y;371141N;072342W
4554X;371306N;070501W
4560Y;375207N;064030W
4575X;373418N;064507W
4584X;374354N;065632W
4589X;373552N;070710W
4608X;374038N;063748W
4622X;372703N;063812W
4642E;371642N;065442W
5769X;375825N;061920W
5858X;365919N;062635W
5860E;370553N;064417W
9198X;424458N;003058W
9201K;423444N;003249W
9207;424426N;004502W
9208E;424232N;004023W
9211F;423051N;004902W
9453X;424157N;001908W
9460X;423046N;002120W
9491X;420146N;003509W
9751;421907N;004449E
9756X;420645N;002848E
9784P;423748N;001329E
9808X;422518N;000817E
9814A;423736N;000642W
9838B;423602N;003118E
9843A;422837N;002603E
9855E;421205N;002758E
9866C;420117N;000826E
9894Y;414757N;000939W
9898;420500N;001935W
9901X;420820N;002342W
9908X;414626N;001959W
9911X;413710N;001116E
9918Y;414651N;002237E
9924X;413129N;002120E
B013X;394924N;025309E
B087X;394121N;023046E
B158X;393305N;022759E
B228;393312N;023731E
B236C;393832N;023837E
B248;394406N;024247E
B275C;393525N;024127E
B278;393339N;024412E
B278C;393122N;024520E
B301;392247N;024706E
B334X;392944N;025330E
B346X;393118N;030109E
B362X;392421N;030351E
B373X;392104N;030043E
B410B;392024N;030845E
B434X;392452N;031618E
B496X;393749N;032301E
B526X;394119N;032104E
B569X;394256N;032841E
B603X;394323N;031643E
B605X;394748N;030617E
B614E;393325N;031304E
B644B;393836N;030008E
B656A;393909N;024801E
B662X;394041N;025226E
B684A;394750N;024731E
B691Y;394457N;030100E
B760X;395237N;030127E
B780X;395434N;030601E
B825B;395926N;040511E
B860X;395934N;035114E
B870C;395641N;035724E
B893;395117N;041256E
B908X;390322N;012933E
B954;385235N;012304E
B957;385521N;012629E
B986;384137N;012749E
5038X;375457N;030014W
5164B;375948N;032743W
5165X;374651N;033349W
5181D;381853N;025323W
5192;382921N;023815W
5210X;381030N;025953W
5246;382040N;033207W
5270B;374639N;034832W
5279X;380904N;033746W
5281X;380535N;034657W
5298X;380123N;040350W
5406X;372951N;035429W
9115X;421518N;025806W
9121X;423431N;025117W
9136X;421351N;025216W
9141V;422451N;024336W
9145Y;422858N;023822W
9170;422708N;021952W
9188;420858N;021624W
9283Y;421104N;014723W
C018J;285811N;134125W
C019V;285132N;135006W
C029O;285707N;133601W
C038N;290837N;132921W
C048W;290233N;134051W
C229J;280257N;142129W
C239N;281231N;140123W
C248E;282502N;140110W
C249I;282641N;135147W
C258K;283645N;135555W
C259X;284426N;135148W
C611E;275838N;153502W
C612F;280025N;153556W
C619I;280003N;154850W
C619X;280604N;154246W
C623I;275536N;153600W
C625O;275125N;153842W
C628B;275432N;154612W
C629Q;274648N;154240W
C629X;274859N;154551W
C635B;275512N;153427W
C639M;274529N;153432W
C639U;274845N;152712W
C648C;275409N;152714W
C648N;275915N;152728W
C649I;275521N;152322W
C649R;275913N;152240W
C656V;280431N;153250W
C658X;280441N;152712W
C659H;280523N;152458W
C659M;280647N;152517W
C665T;280358N;153357W
C669B;280830N;153025W
C689E;274409N;153545W
C839I;291355N;133007W
1178Y;430843N;045554W
1541B;425544N;062002W
1549;423350N;063600W
1561I;424558N;064025W
2624C;425730N;050027W
2626Y;423712N;051136W
2630X;430344N;052237W
2661B;423558N;053837W
2664B;421745N;053017W
2701D;425308N;055215W
2728B;423854N;060415W
2734D;422836N;060428W
2737E;422239N;061148W
2742R;422759N;054647W
9590;422144N;014136E
9590D;422549N;014004E
9619;422117N;012747E
9632X;421349N;013410E
9638D;420916N;011843E
9647X;414821N;012344E
9650X;415253N;010631E
9657X;423730N;010734E
9689X;422759N;005927E
9698U;421219N;005155E
9707;420401N;005426E
9720X;413902N;010858E
9724X;415224N;004522E
9729X;413701N;005200E
9744B;423012N;004756E
9771C;413734N;003553E
9772X;412158N;005449E
9775X;412449N;004042E
9994X;424634N;004123E
1297E;424607N;070103W
1342X;433226N;070459W
1344X;432553N;072142W
1347T;433904N;072126W
1505;430641N;072727W
1518A;425954N;073309W
1521I;425043N;072958W
1521X;425150N;071107W
1535I;423805N;074217W
1658;423519N;071130W
1679A;423154N;073039W
2462;404735N;040038W
3100B;400402N;033246W
3104Y;405323N;035318W
3110C;410025N;033649W
3111D;410808N;033449W
3125Y;403412N;033806W
3126Y;403341N;034243W
3129;402800N;033320W
3170Y;403142N;031723W
3182Y;401842N;032952W
3191E;404146N;034554W
3194U;402706N;034327W
3194Y;402654N;034848W
3195;402443N;034041W
3229Y;401450N;031842W
3266A;404223N;040831W
3268C;403935N;040103W
3330Y;401847N;042914W
3338;402540N;041500W
3343Y;402948N;040340W
6032B;364459N;051006W
6032X;364500N;051007W
6040X;363240N;052311W
6045X;363757N;051211W
6050X;363107N;051907W
6057X;362242N;051536W
6058I;362501N;050918W
6069X;363237N;050129W
6076X;362904N;045711W
6083X;362901N;044425W
6084X;363219N;043706W
6088X;363714N;043054W
6106X;370146N;044454W
6127X;365117N;044148W
6143X;363928N;044539W
6155A;363958N;042856W
6156X;364304N;042854W
6172X;364300N;042511W
6175X;364254N;041710W
6199B;364632N;040543W
6201X;364521N;040238W
6213X;364546N;035043W
6375X;370757N;044431W
6000A;351635N;025723W
7002Y;372502N;013513W
7007X;373435N;011404W
7012C;373604N;005916W
7023X;374335N;011002W
7026X;374420N;005803W
7031X;374642N;004821W
7080X;381606N;015911W
7119B;380609N;015238W
7121A;381403N;014208W
7127X;380257N;014143W
7138B;382732N;012007W
7145D;381358N;012250W
7158X;380741N;011821W
7172X;380229N;012657W
7178I;380007N;011015W
7195X;375534N;020330W
7203A;375041N;015211W
7209;373917N;014114W
7211B;373405N;014750W
7218X;374543N;013008W
7227X;375142N;012005W
7237E;380820N;010931W
7250C;381140N;010202W
7275C;383606N;010935W
1002Y;430809N;013235W
1010X;431646N;014038W
1033X;430506N;015703W
9171K;423413N;021102W
9218A;425144N;005529W
9228J;425346N;011801W
9228T;430028N;011932W
9238X;424303N;010702W
9245X;423117N;012159W
9252X;422921N;013920W
9257X;425814N;013101W
9262P;424204N;012944W
9263D;424637N;013900W
9263X;424634N;013157W
9274X;425508N;015006W
9280B;423258N;015127W
9283X;421225N;014241W
9294E;421155N;012831W
9301X;415732N;014126W
9302Y;420320N;013634W
9995Y;430528N;011803W
1583X;422456N;065935W
1631E;422022N;071657W
1639X;421537N;072301W
1690A;421931N;075135W
1696O;422805N;081641W
1700X;422517N;080533W
1701X;421800N;080745W
1706A;421058N;074746W
1735X;420445N;074401W
1738U;415603N;075920W
2969U;420138N;071059W
2978X;415536N;072519W
2235U;425214N;043112W
2243A;424750N;041637W
2276B;423408N;043430W
2362C;425338N;044249W
2374X;422103N;043702W
2400E;415944N;043610W
2401X;420034N;043338W
2568D;423125N;045104W
1466A;424203N;081528W
1468X;424137N;083007W
1477V;423505N;084629W
1484C;422618N;083657W
1489A;422425N;082704W
1495;421419N;083726W
1496X;421350N;084327W
1719;421305N;081652W
1723X;421056N;082934W
1730E;415638N;085051W
2491C;402118N;054124W
2847X;404032N;053836W
2863C;404356N;052158W
2867;405734N;052954W
2870;405727N;053944W
2873X;405413N;054647W
2883R;411202N;060601W
2891A;411547N;062745W
2914C;404710N;061210W
2916A;410041N;062616W
2918Y;403410N;061325W
2926B;405105N;063632W
2930Y;401748N;064846W
2945A;402906N;063437W
2946X;403806N;063600W
2135A;412222N;033026W
2140A;412752N;034709W
2150H;411131N;032831W
2182C;410802N;034725W
2192C;412301N;041556W
2465;405643N;040735W
2471Y;404305N;041238W
2482B;410735N;042233W
5612B;371140N;044612W
5612X;371613N;044937W
5641X;373058N;050506W
5654X;374712N;052216W
5656;372950N;052559W
5702X;373356N;054426W
5704B;375535N;054611W
5726X;380558N;054909W
5733X;374728N;060430W
5783;372500N;055245W
5790Y;372151N;060021W
5796;370952N;053641W
5835X;372136N;062003W
5891X;365712N;055048W
5998X;371436N;050645W
2005Y;415804N;024658W
2017Y;415945N;022939W
2030;414630N;022859W
2044B;413602N;023027W
2048A;412510N;022513W
2059B;412059N;024700W
2084Y;414319N;030249W
2092;413522N;030513W
2096B;412225N;031505W
2296A;414632N;015836W
9287A;420135N;021351W
9344C;411259N;021735W
9352A;413429N;020825W
C117A;284539N;175908W
C117Z;284029N;175613W
C126A;283914N;175112W
C129V;282719N;175028W
C129Z;283545N;175455W
C139E;283759N;174518W
C148F;284818N;174657W
C314Z;280625N;171457W
C315P;280639N;171548W
C317B;281044N;171247W
C319W;280316N;171824W
C328W;280949N;171139W
C329Z;280523N;170641W
C406G;281327N;163735W
C419X;280453N;164240W
C428T;281052N;162901W
C429I;280249N;163340W
C430E;281832N;162958W
C438N;282132N;162405W
C439J;281906N;162256W
C446G;283136N;161650W
C447A;282839N;161946W
C449C;282748N;161519W
C449F;283029N;161144W
C457I;282605N;162717W
C458A;282947N;162512W
C459Z;282505N;163253W
C468B;282323N;163747W
C469N;282243N;164903W
C916Q;274308N;175841W
