ID,name,province,municipality,altitude,gradient,distance,mountain_slope,technical_difficulty,url,peak_coords,photo
251,Arantzazu,Gipuzkoa,Oñati,718,464,7.0,5.0,96,https://www.altimetrias.net/aspbk/verPuerto.asp?id=261,"[-2.399915,42.979146]",
252,La Matanela,Cantabria,Vega de Pas,1005,705,17.0,4.0,96,https://www.altimetrias.net/aspbk/verPuerto.asp?id=193,"[-3.841453,43.065517]",
254,Bel,Castellón,Rossell,962,520,8.0,6.0,96,https://www.altimetrias.net/aspbk/verPuerto.asp?id=714,"[0.166184,40.62289]",
257,Jaizkibel,Gipuzkoa,Lezo-Pasajes,453,444,8.0,5.0,94,https://www.altimetrias.net/aspbk/verPuerto.asp?id=227,"[-1.850635,43.350753]",
258,El Sol,Málaga,Periana,1078,503,9.0,5.0,94,https://www.altimetrias.net/aspbk/verPuerto.asp?id=398,"[-4.219066,36.969989]",
260,Josa,Lleida,Tuixént,1630,492,12.0,4.0,92,https://www.altimetrias.net/aspbk/verPuerto.asp?id=485,"[1.651143,42.249825]",
263,El Hontanar,Valencia,Los Santos,1302,542,11.0,4.0,91,https://www.altimetrias.net/aspbk/verPuerto.asp?id=430,"[-1.371489,40.110835]",
264,Peña Angulo,Burgos,Añes,728,536,18.0,2.0,91,https://www.altimetrias.net/aspbk/verPuerto.asp?id=189,"[-3.192808,43.023157]",
265,Presa De Cavallers,Lleida,Caldes de Boí,1764,513,8.0,6.0,91,https://www.altimetrias.net/aspbk/verPuerto.asp?id=310,"[0.855705,42.583914]",
266,La Aldea - Bernedo,Navarra,Elvillar - Cripán,988,588,18.0,3.0,90,https://www.altimetrias.net/aspbk/verPuerto.asp?id=396,"[-2.469318,42.604419]",
267,Peña Ranero,Bizkaia,Rioseco,487,374,5.0,7.0,89,https://www.altimetrias.net/aspbk/verPuerto.asp?id=279,"[-3.384562,43.259901]",
268,Sancho Leza,La Rioja,Jalón de Cameros,1410,541,15.0,3.0,89,https://www.altimetrias.net/aspbk/verPuerto.asp?id=141,"[-2.568884,42.130376]",
269,Aigües Tortes,Lleida,L-500,1816,480,7.0,6.0,88,https://www.altimetrias.net/aspbk/verPuerto.asp?id=447,"[0.912602,42.551714]",
273,Karabieta,Gipuzkoa,Eibar,561,442,6.0,6.0,86,https://www.altimetrias.net/aspbk/verPuerto.asp?id=356,"[-2.480622,43.148181]",
274,Castillo de San Julián,Murcia,Cartagena,300,283,3.0,7.0,85,https://www.altimetrias.net/aspbk/verPuerto.asp?id=628,"[-0.965044,37.581293]",
276,Santa Teodosia,Álava,San Vicente de Arana,1043,248,2.0,9.0,84,https://www.altimetrias.net/aspbk/verPuerto.asp?id=192,"[-2.358086,42.765584]",
278,La Braguía,Cantabria,Selaya,705,469,8.0,5.0,84,https://www.altimetrias.net/aspbk/verPuerto.asp?id=246,"[-3.796728,43.177213]",
279,Salinas De Léniz,Gipuzkoa,Eskoriatza,621,330,6.0,5.0,84,https://www.altimetrias.net/aspbk/verPuerto.asp?id=174,"[-2.571408,42.977573]",
281,Ixua,Gipuzkoa,Etxebarria,545,440,8.0,4.0,84,https://www.altimetrias.net/aspbk/verPuerto.asp?id=265,"[-2.47765,43.206894]",
283,Monrepós,Huesca,Huesca,1265,546,12.0,4.0,82,https://www.altimetrias.net/aspbk/verPuerto.asp?id=358,"[-0.398562,42.350181]",
284,Castillo De Loarre,Huesca,Loarre,1077,312,3.0,8.0,82,https://www.altimetrias.net/aspbk/verPuerto.asp?id=697,"[-0.613809,42.328251]",
285,La Sía,Burgos,Espinosa de los Monteros,1250,434,7.0,6.0,81,https://www.altimetrias.net/aspbk/verPuerto.asp?id=185,"[-3.573217,43.152413]",
286,Etxauri,Navarra,Etxauri,841,434,6.0,6.0,81,https://www.altimetrias.net/aspbk/verPuerto.asp?id=467,"[-1.844931,42.786557]",
287,La Mazorra,Burgos,Valdenoceda,1005,420,8.0,5.0,80,https://www.altimetrias.net/aspbk/verPuerto.asp?id=508,"[-3.618901,42.817236]",
288,Carmona,Cantabria,Puentenansa,601,444,10.0,4.0,80,https://www.altimetrias.net/aspbk/verPuerto.asp?id=178,"[-4.32493,43.239741]",
290,Elgeta,Bizkaia,Elorrio,473,289,4.0,7.0,79,https://www.altimetrias.net/aspbk/verPuerto.asp?id=314,"[-2.488004,43.136721]",
291,Dobres-Cucayo,Cantabria,La Vega de Liébana,955,494,11.0,4.0,79,https://www.altimetrias.net/aspbk/verPuerto.asp?id=175,"[-4.637471,43.055767]",
294,Alto del Repetidor,Burgos,Incinillas,1015,418,8.0,4.0,78,https://www.altimetrias.net/aspbk/verPuerto.asp?id=536,"[-3.65669,42.931633]",
295,Barazar,Bizkaia,Zeanuri,606,436,7.0,6.0,77,https://www.altimetrias.net/aspbk/verPuerto.asp?id=301,"[-2.711864,43.066003]",
296,Moclín,Granada,Tiena,1038,416,7.0,5.0,76,https://www.altimetrias.net/aspbk/verPuerto.asp?id=493,"[-3.788409,37.340284]",
297,Portillo Del Busto,Burgos,Frías,1003,458,12.0,3.0,76,https://www.altimetrias.net/aspbk/verPuerto.asp?id=452,"[-3.266003,42.69007]",
299,Campo Layal (La Aparecida),Cantabria,Ampuero,418,403,6.0,6.0,75,https://www.altimetrias.net/aspbk/verPuerto.asp?id=533,"[-3.470142,43.318287]",
300,Balneario De Cardó,Tarragona,Rasquera,502,460,12.0,3.0,75,https://www.altimetrias.net/aspbk/verPuerto.asp?id=696,"[0.577561,40.95169]",
301,Cabezabellosa,Cáceres,Villar de Plasencia,938,509,10.0,4.0,75,https://www.altimetrias.net/aspbk/verPuerto.asp?id=539,"[-6.000087,40.123666]",
303,Mendizorrotz,Gipuzkoa,Orio (Txanka),392,384,7.0,4.0,74,https://www.altimetrias.net/aspbk/verPuerto.asp?id=292,"[-2.06705,43.29819]",
305,Alcomba,Cantabria,Casas de Relumbrero,530,412,6.0,6.0,74,https://www.altimetrias.net/aspbk/verPuerto.asp?id=428,"[-3.47718,43.290336]",
306,Sierra Salvada,Álava,Izoria,670,393,7.0,5.0,73,https://www.altimetrias.net/aspbk/verPuerto.asp?id=119,"[-3.130202,43.046172]",
307,Ebo,Alicante,Pego,575,465,8.0,5.0,73,https://www.altimetrias.net/aspbk/verPuerto.asp?id=318,"[-0.130133,38.815904]",
308,Cerro Malacara,Granada,Obeilar,891,272,4.0,5.0,73,https://www.altimetrias.net/aspbk/verPuerto.asp?id=640,"[-3.844338,37.278067]",
309,Canencia,Madrid,Miraflores de la Sierra,1524,371,8.0,4.0,73,https://www.altimetrias.net/aspbk/verPuerto.asp?id=307,"[-3.764019,40.869002]",
310,Arrebatacapas,Ávila,Cebreros,1225,439,10.0,4.0,73,https://www.altimetrias.net/aspbk/verPuerto.asp?id=432,"[-4.517612,40.494677]",
311,Asterrika,Bizkaia,Berriatua,240,221,2.0,9.0,73,https://www.altimetrias.net/aspbk/verPuerto.asp?id=128,"[-2.458073,43.326514]",
312,Aracena,Huelva,Carboneras,735,389,11.0,3.0,72,https://www.altimetrias.net/aspbk/verPuerto.asp?id=701,"[-6.56329,37.889793]",
313,Eleizalde (Rigoitia),Bizkaia,Olea,291,210,3.0,6.0,72,https://www.altimetrias.net/aspbk/verPuerto.asp?id=737,"[-2.725487,43.314481]",
314,El Cabrio,Burgos,Paradores (Valle de Mena),755,393,8.0,4.0,72,https://www.altimetrias.net/aspbk/verPuerto.asp?id=191,"[-3.44327,43.088448]",
315,El Tibidabo,Barcelona,Vallvidrera,505,357,5.0,6.0,72,https://www.altimetrias.net/aspbk/verPuerto.asp?id=470,"[2.118963,41.421606]",
316,Pazuengos,La Rioja,Santurde,1175,405,8.0,4.0,71,https://www.altimetrias.net/aspbk/verPuerto.asp?id=232,"[-2.925067,42.319463]",
317,Dima,Bizkaia,Dima,595,479,11.0,4.0,70,https://www.altimetrias.net/aspbk/verPuerto.asp?id=229,"[-2.686243,43.077399]",
321,Piedrafita,León,Villafranca del Bierzo,1107,477,13.0,3.0,68,https://www.altimetrias.net/aspbk/verPuerto.asp?id=256,"[-7.016898,42.724898]",
322,Urbasa,Navarra,Olazagutia,929,379,16.0,2.0,68,https://www.altimetrias.net/aspbk/verPuerto.asp?id=186,"[-2.146497,42.800918]",
323,Santa Creu D´Olorda,Barcelona,Molins de Rei,433,397,8.0,4.0,65,https://www.altimetrias.net/aspbk/verPuerto.asp?id=435,"[2.076291,41.415935]",
325,La Barrerilla,Álava,Orduña,642,367,6.0,5.0,65,https://www.altimetrias.net/aspbk/verPuerto.asp?id=188,"[-2.95434,42.989426]",
326,Altube,Álava,Baranbio,622,354,10.0,3.0,65,https://www.altimetrias.net/aspbk/verPuerto.asp?id=266,"[-2.870505,42.976799]",
327,San Pelayo,Bizkaia,Bakio,301,294,4.0,7.0,64,https://www.altimetrias.net/aspbk/verPuerto.asp?id=571,"[-2.768772,43.441285]",
328,Trabakua,Bizkaia,Markina,426,303,7.0,4.0,64,https://www.altimetrias.net/aspbk/verPuerto.asp?id=359,"[-2.553057,43.199629]",
329,La Granja,Cantabria,Guriezo,378,364,6.0,5.0,64,https://www.altimetrias.net/aspbk/verPuerto.asp?id=309,"[-3.2841,43.3569]",
331,Lekoitz-Gane,Bizkaia,Markina,352,262,3.0,7.0,63,https://www.altimetrias.net/aspbk/verPuerto.asp?id=132,"[-2.542477,43.276174]",
334,Santuario Del Brezo,Palencia,Aviñante de la Peña,1425,264,3.0,7.0,62,https://www.altimetrias.net/aspbk/verPuerto.asp?id=754,"[-4.71205,42.84895]",
335,Lumeras,León,Sésamo,1048,391,6.0,5.0,62,https://www.altimetrias.net/aspbk/verPuerto.asp?id=472,"[-6.686826,42.781622]",
336,Santa Olaja,Burgos,El Refugio (Artziniega),585,360,8.0,4.0,62,https://www.altimetrias.net/aspbk/verPuerto.asp?id=598,"[-3.193155,43.073429]",
337,Tárbena,Alicante,Bolulla,587,358,7.0,5.0,62,https://www.altimetrias.net/aspbk/verPuerto.asp?id=355,"[-0.10201,38.698305]",
338,Aretxabalgane,Bizkaia,Oñarte,328,276,6.0,4.0,61,https://www.altimetrias.net/aspbk/verPuerto.asp?id=137,"[-2.757547,43.283423]",
339,Cabo Tiñoso,Murcia,Campillo de Adentro,367,314,4.0,6.0,61,https://www.altimetrias.net/aspbk/verPuerto.asp?id=603,"[-1.151959,37.551643]",
340,Rivas De Tereso,La Rioja,S. Vicente de la Sonsierra,960,430,9.0,4.0,60,https://www.altimetrias.net/aspbk/verPuerto.asp?id=206,"[-2.731618,42.618001]",
341,Sanantonzar,Gipuzkoa,Berrobi,499,221,6.0,5.0,60,https://www.altimetrias.net/aspbk/verPuerto.asp?id=733,"[-1.967681,43.118767]",
342,Las Muñecas,Bizkaia,Sopuerta,371,283,4.0,6.0,59,https://www.altimetrias.net/aspbk/verPuerto.asp?id=254,"[-3.170686,43.30003]",
343,Leaburu,Gipuzkoa,Tolosa,288,211,2.0,7.0,58,https://www.altimetrias.net/aspbk/verPuerto.asp?id=408,"[-2.052495,43.125648]",
345,Cerro San Cristóbal,Cuenca,Cuenca,1180,268,4.0,6.0,57,https://www.altimetrias.net/aspbk/verPuerto.asp?id=277,"[-2.12105,40.086728]",
346,El Boquerón,Ávila,El Herradón de Pinares,1315,405,8.0,4.0,57,https://www.altimetrias.net/aspbk/verPuerto.asp?id=490,"[-4.607735,40.575435]",
347,Alkiza,Gipuzkoa,Anoeta,342,275,4.0,6.0,56,https://www.altimetrias.net/aspbk/verPuerto.asp?id=691,"[-2.109155,43.172783]",
